DANE,Colegio,Sector,PuntajeGlobal
111001016004,COLEGIO LA BELLEZA LOS LIBERTADORES (IED),DISTRITAL,50.71
111001075663,COLEGIO ESTRELLA DEL SUR (IED),DISTRITAL,50.79
111001014486,COLEGIO REPUBLICA DE MEXICO (IED),DISTRITAL,50.54
111001036561,COLEGIO JOSE JAIME ROJAS (IED),DISTRITAL,50.38
111001107867,COLEGIO KIMI PERNIA DOMICO (IED),DISTRITAL,50.17
111001035602,COLEGIO JUAN EVANGELISTA GOMEZ (IED),DISTRITAL,50.25
111001102105,COLEGIO CONFEDERACION BRISAS DEL DIAMANTE (IED),DISTRITAL,50.13
111850001576,COLEGIO FEDERICO GARCIA LORCA (IED),DISTRITAL,49.96
111001109304,COLEGIO FANNY MIKEY (IED),DISTRITAL,49.79
111001034665,COLEGIO SAN MARTIN DE PORRES (IED),DISTRITAL,49.58
111001034011,COLEGIO JUAN REY (IED),DISTRITAL,49.42
111001102130,COLEGIO COMPARTIR RECUERDO (IED),DISTRITAL,49.38
211850001317,COLEGIO RURAL JOSE CELESTINO MUTIS (IED),DISTRITAL,49.33
311001075034,COLEGIO CANADA (IED),DISTRITAL,49.13
111001024643,COLEGIO NUEVA ESPERANZA (IED),DISTRITAL,48.63
311001026441,COLEGIO LOS PINOS (IED),DISTRITAL,48.46
111001102156,COLEGIO CAMPESTRE MONTE VERDE (IED),DISTRITAL,48.00
111769003424,COLEGIO GERARDO PAREDES (IED),DISTRITAL,47.71
111001102067,COLEGIO AULAS COLOMBIANAS SAN LUIS (IED),DISTRITAL,47.21
111001036544,COLEGIO ANTONIO JOSE URIBE (IED),DISTRITAL,47.08
111001098868,COLEGIO LUIS EDUARDO MORA OSEJO (IED),DISTRITAL,46.96
211850000981,COLEGIO EL UVAL (IED),DISTRITAL,46.96
111001107115,COLEGIO JOSE MARIA VARGAS VILA (IED),DISTRITAL,46.50
111001102148,COLEGIO INTEGRADA LA CANDELARIA (IED),DISTRITAL,45.29
111001102113,COLEGIO EL TESORO DE LA CUMBRE (IED),DISTRITAL,44.58
211850000736,COLEGIO RURAL LA ARGENTINA (CED),DISTRITAL,76.31
111001012475,COLEGIO AGUAS CLARAS (IED),DISTRITAL,66.44
111001078930,COLEGIO LA PAZ (CED),DISTRITAL,65.00
111001011011,COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED),DISTRITAL,62.50
111001104183,COLEGIO LEONARDO POSADA PEDRAZA (IED),DISTRITAL,61.75
111001012246,COLEGIO PANTALEON GAITAN PEREZ (CED),DISTRITAL,61.00
111001041599,COLEGIO MOTORISTA (CED),DISTRITAL,58.19
211850001180,COLEGIO MOCHUELO ALTO (CED),DISTRITAL,55.00
111001028380,COLEGIO PALERMO SUR (IED),DISTRITAL,51.63
211850001007,COLEGIO RURAL LA MAYORIA (CED),DISTRITAL,43.75
111001011975,COLEGIO GRAN COLOMBIA (IED),DISTRITAL,43.31
111001010910,COLEGIO NACIONAL NICOLAS ESGUERRA (IED),DISTRITAL,64.88
111001086690,COLEGIO EL MANANTIAL (CED),DISTRITAL,45.63
211850000108,COLEGIO RURAL OLARTE (CED),DISTRITAL,40.50
